feature	Actinobacteria	Bacteroidetes	Cyanobacteria	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Synergistetes	Tenericutes	Verrucomicrobia
LLM.2016.12.01	-8.55856788950352	-2.43962681678001	-6.4645917412945	NA	-0.675454677178124	NA	-2.68725496414106	-12.2590076076446	-6.0890826062023	-7.53108715308141
LLM.2016.12.03	-12.2858356558614	-1.53512866963647	NA	NA	-4.56132180274147	NA	-0.707934818974449	NA	NA	-12.2858356558614
LLM.2016.12.04	NA	-3.20313896005679	NA	NA	-3.12030681164929	-11.698993986944	-0.366957438582307	NA	-11.2839564876651	-11.698993986944
LLM.2016.12.11	-12.2697111211428	-1.25290283345623	-12.2697111211428	NA	-0.826249508915388	-12.2697111211428	-6.05054260068062	-12.2697111211428	NA	-10.9477830262554
LLM.2016.12.17	NA	-2.53853964255936	-9.66696365677523	NA	-0.334554078019548	-10.929998062609	-5.86822186502234	-10.929998062609	-6.48374183271946	-7.85960873471763
LLM.2016.12.25	-12.2536997813742	-1.70535949369803	-5.51899016114834	NA	-0.71939689891955	NA	-4.60624135491926	-7.32296244381129	-12.2536997813742	-5.92278290325956
LLM.2017.01.01	-8.46060216234524	-1.41659843536933	-6.21267464890165	NA	-0.800096843694961	NA	-5.37313932109489	-9.1804942431525	-8.62410089462811	-7.29067716090292
LLM.2017.01.08	-10.9344280406268	-2.04629365227393	-7.86403871273541	-12.2563561355142	-0.448598731924899	NA	-6.38599141593076	NA	-8.08643113407185	-7.79692451687687
LLM.2017.01.15	-8.54555856233161	-2.47698695937569	-8.15853543922237	-11.2459982804727	-0.380265009620948	NA	-4.87531087366549	-6.87095884912578	-11.2459982804727	-8.66103577975155
LLM.2017.01.22	-8.67360353316878	-1.87864621624339	-8.50367853172646	NA	-0.56246786293407	NA	-4.75077139369124	-8.50367853172646	-9.01063852044635	-8.01063852044635
LLM.2017.01.31	-8.61618123133188	-1.89590276609855	-8.8006058024693	NA	-0.573755765962168	NA	-4.64901262379925	-8.73647546504959	-8.86771999832784	-6.60182593835481
LLM.2017.02.11	-9.80354408259065	-1.53718342973379	-8.73941374517093	NA	-0.851199925651416	NA	-3.70073327700687	-8.67801320050679	-8.26297570122794	-6.05352233559899
LLM.2017.02.26	-10.4709493300794	-4.23118034002301	-11.278304252137	NA	-1.08909741754001	NA	-1.11339732546134	-10.9563761572497	-7.55038379757383	-7.04948556164115
