feature	Actinobacteria	Bacteroidetes	Cyanobacteria	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Synergistetes	Tenericutes	Verrucomicrobia
LLM.2014.02.17	0.00223759153783564	0.391680227827502	NA	0.00101708706265256	0.360964198535395	0.00823840520748576	0.176057770545159	0.00305126118795769	0.0065093572009764	0.0502441008950366
LLM.2014.03.23	0.000811359026369168	0.333772819472617	NA	0.00101419878296146	0.404259634888438	0.000101419878296146	0.214300202839757	0.000608519269776876	0.00517241379310345	0.0399594320486815
LLM.2014.05.04	0.00305903946160905	0.282043438360355	NA	0.00407871928214541	0.404506984806771	0.0020393596410727	0.259304578362394	0.00234526358723361	0.00295707147955542	0.0396655450188641
LLM.2014.06.16	0.000912038913660316	0.437677340899878	0.00516822051074179	NA	0.31860559383867	0.000202675314146737	0.184738548844751	0.000405350628293474	0.00273611674098095	0.0495541143088772
LLM.2014.07.24	0.00162354134956875	0.389649923896499	0.0105530187721969	0.00101471334348047	0.448097412480974	0.00121765601217656	0.0509386098427194	0.00091324200913242	0.00426179604261796	0.0917300862506342
LLM.2014.08.22	0.00520939734422881	0.204392236976507	0.00377936670071502	0.00204290091930541	0.683043922369765	NA	0.0876404494382023	0.000102145045965271	0.00183861082737487	0.0119509703779367
LLM.2014.08.25	0.0102616726526424	0.358337609030272	0.000205233453052848	0.00513083632632119	0.475320677270395	0.000513083632632119	0.0444330425859415	0.00246280143663417	0.00379681888147768	0.0995382247306311
LLM.2014.09.28	0.00121248863291907	0.331312518945135	0.00596140244518541	0.00101040719409922	0.459937354753966	0.000101040719409922	0.195816914216429	0.000101040719409922	0.0009093664746893	0.0036374658987572
LLM.2014.11.16	0.00100664384940608	0.324743305818401	0.00201328769881216	0.00100664384940608	0.490134890275821	0.00241594523857459	0.174250050332192	NA	0.00191262331387155	0.0025166096235152
LLM.2014.12.07	0.00255154113084303	0.298836497244336	0.00734843845682793	0.00204123290467442	0.590834864258012	0.000204123290467442	0.078689528475199	0.000408246580934885	0.00214329454990815	0.0169422331087977
LLM.2014.12.17	0.00152021891152326	0.477044694435999	0.00608087564609304	NA	0.363535015708929	0.00131752305665349	0.139961487787575	0.000202695854869768	0.0025336981858721	0.00780379041248606
LLM.2015.01.06	0.00213588283157038	0.413751017087063	0.000610252237591538	0.00101708706265256	0.337367778681855	0.0023393002441009	0.132119609438568	0.000203417412530513	0.00132221318144833	0.10913344182262
LLM.2015.01.14	0.00285976917577367	0.32836278214687	0.00398324992339904	0.00204269226840976	0.454907568174854	0.000510673067102441	0.0941681135736901	0.00102134613420488	0.00377898069655806	0.108364824839138
LLM.2015.01.25	0.00242350802787034	0.245582146824195	0.00313036453599919	0.00302938503483793	0.465010602847622	0.000807836009290114	0.0303948298495406	0.0014137130162577	0.0042411390487731	0.243966474805615
LLM.2015.02.08	0.00182333873581848	0.310777957860616	0.0030388978930308	0.0020259319286872	0.560980551053484	0.000405186385737439	0.0627025931928687	0.000911669367909238	0.0015194489465154	0.0558144246353323
LLM.2015.02.23	0.00283515593357635	0.249493722154718	0.00232887808829486	0.00202511138112596	0.625455650060753	NA	0.10996354799514	0.000202511138112596	0.00172134467395707	0.00597407857432159
