feature	Alcaligenaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Christensenellaceae	Clostridiaceae	Coriobacteriaceae	Desulfovibrionaceae	Enterobacteriaceae	Erysipelotrichaceae	Fusobacteriaceae	Lachnospiraceae	Methanobacteriaceae	Pasteurellaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	S24-7	Synergistaceae	Unclassified Cyanobacteria	Unclassified Firmicutes	Unclassified Proteobacteria	Unclassified Tenericutes	Veillonellaceae	Verrucomicrobiaceae	[Barnesiellaceae]	[Paraprevotellaceae]	[Tissierellaceae]
LLM.2015.05.03	-7.30760479680843	-3.11205398769063	-12.2618011071953	-13.2618011071953	-8.05234774156636	-8.05234774156636	-7.7382391511383	-6.27311642042314	-5.53388065263211	-5.3914363876119	-9.93987301230795	-1.88079899764438	-8.93987301230795	NA	-6.22837810565786	-5.7619552201121	-12.2618011071953	-4.73432410113491	-1.91695042325232	-8.35491051158679	-11.6768386064742	-9.67683860647415	-3.70338039392665	-4.43843386714907	-9.56136138905422	-6.78606767622891	-4.66188826500818	-7.37915805783347	-6.21740698783686	-9.45444618513771
LLM.2015.05.31	-7.05028989806183	-2.84611533466661	-12.2597432636908	-11.6747807629696	-6.91989326080616	-8.25974326369078	-9.55930354554969	-6.78400983272438	-6.91989326080616	-7.19365407323301	-10.4523883416332	-2.48248794849886	-9.45238834163318	NA	-5.80031164505348	-6.15121880691261	-13.2597432636908	-4.58378623074903	-1.82355226820936	-7.0309245731949	-10.9378151688034	-13.2597432636908	-4.32605260873855	-3.5386440749836	-9.55930354554969	-5.58026316418534	-3.49985508046895	-6.72058445258275	-6.21534914433233	-10.4523883416332
LLM.2015.06.14	-8.00340695121527	-2.65981211808812	-9.55089474651776	-10.0814094632165	-6.98454792396396	-8.12205144771389	-8.12205144771389	-5.88501225041304	-5.88501225041304	-5.57890912268736	-8.55089474651776	-2.25274403491353	-7.60747827488413	-10.4439795426013	-5.8590170418801	-5.17987210210223	-10.4439795426013	-4.97987143675448	-2.00340695121527	-9.55089474651776	-10.9294063697715	-10.6663719639377	-3.74750872666311	-6.39335346953129	-7.6663719639377	-6.80839096881013	-3.35803293379829	-6.87629503331193	-7.89378246004077	-6.98454792396396
LLM.2015.07.08	-6.28496523717153	-2.44392718885763	-12.2736499239437	-13.2736499239437	-12.2736499239437	-9.5732102058026	-9.27364992394369	-6.14436690699873	-5.08877458103541	-4.49886286434252	-10.4662950018861	-2.20017776996723	-9.95172182905633	-11.6886874232225	-4.90732770969788	-3.73837454732289	-12.2736499239437	-5.86425898780599	-2.46871225189178	-11.2736499239437	-13.2736499239437	-10.6886874232225	-5.36675932833517	-5.97902917505206	-12.2736499239437	-7.06419655831474	-3.77380403686049	-7.20756073348592	-4.13154286664114	-10.9517218290563
LLM.2015.07.09	-5.77744151304715	-1.80206062238809	-11.6923248994092	NA	NA	-8.52239989796689	-10.4699324780728	-9.18982455888002	-4.58728942871091	-6.91973539551227	-11.2772874001304	-2.79447944340369	NA	-13.2772874001304	-4.84683484846482	-2.38171211774967	NA	-6.08746284125034	-2.61284011558239	-9.27728740013036	NA	-11.6923248994092	-6.08746284125034	-6.37039680452184	NA	-6.35842416285576	-7.08746284125034	-8.6923248994092	-4.666262602823	-12.2772874001304
LLM.2015.07.10	-5.33816319762216	-1.82730544029139	-11.6780132005068	NA	-11.2629757012279	-8.40499470610037	-9.94104760634058	-6.02457096190286	-4.10058437247104	-6.40499470610037	-6.30877939084107	-3.04744270148229	NA	-7.73941374517093	-4.74333944838473	-4.06085187739748	-13.2629757012279	-5.36815793792	-2.58966662566625	-9.94104760634058	NA	-11.2629757012279	-5.50142446878346	-5.73159424071163	NA	-6.83671094652585	-3.61911951145322	-6.88793626988102	-5.22405671193564	-6.67801320050679
LLM.2015.07.11	-6.49361678241838	-2.07816572572209	-10.2618011071953	NA	-10.091876105753	-8.35491051158679	-8.56136138905422	-7.45444618513771	-5.25057385177206	-5.88676167584838	-7.07197654831529	-2.54927410675549	-9.93987301230795	-10.091876105753	-5.07197654831529	-4.39761496254103	NA	-5.02339636787023	-2.175664882168	-10.2618011071953	NA	-12.2618011071953	-4.80647388689075	-6.67683860647415	NA	-6.95802035901821	-3.26603395631751	-7.05234774156636	-6.07197654831529	-7.53388065263211
LLM.2015.07.12	-6.19350697203065	-1.9410533527857	-11.6746336617673	NA	-11.2595961624884	-8.6157399727137	-10.4522412404308	-7.47823644896376	-4.94671320720407	-7.6157399727137	-7.53167570792522	-3.24697162362336	NA	-9.67463366176727	-5.05502501823922	-4.08217662449919	NA	-4.14846049225372	-2.27304301273176	-9.08967116104611	NA	-12.2595961624884	-4.26524272562956	-4.1615640795279	NA	-6.53167570792522	-4.60496013396045	-6.46518029613832	-4.83753139631561	-7.30539985210155
LLM.2015.07.15	-8.02455647849129	-2.84936808178777	-11.6875214912137	NA	-9.46512906987727	-7.49112427841021	-9.95055589704751	-7.51759648977141	-5.06303062630592	-7.88016656915611	-13.2724839919349	-2.94268765371417	NA	NA	-5.66515367818526	-3.79877824231546	NA	-3.89961893182229	-2.16985210307991	-7.68752149121372	-13.2724839919349	-12.2724839919349	-4.52765015443533	-2.6865825422441	-9.68752149121372	-6.65777414781967	-5.64312737185526	-5.84621923723278	-4.44276125684882	-12.2724839919349
LLM.2015.07.19	-7.33003521479065	-4.66831551508545	-10.4534176302959	NA	-7.93884445746617	-9.09084755091122	-9.09084755091122	-6.75297791215484	-5.96615180346191	-6.39040783277013	-9.01284503890995	-2.03978970127176	-8.93884445746617	-11.6758100516324	-5.47941283882887	-3.97537033349129	NA	-4.31825804701429	-1.78960541862914	-7.30657624196666	-12.2607725523535	-8.13148953540857	-3.35689070661735	-4.03677087815543	-8.67581005163238	-6.45341763029593	-7.09084755091122	-6.61691636257881	-4.85563108921719	-9.45341763029593
LLM.2015.07.26	-7.70985374854896	-3.15200309344505	-11.2644426002266	-12.2644426002266	-7.19835340976883	-9.457087678169	-8.62058641045188	-6.32192809488736	-6.07461804134658	-6.22004848086815	-9.09451759878429	-2.41113304482293	-8.94251450533924	-13.2644426002266	-5.01651508678302	-8.50955509806313	-13.2644426002266	-4.19835340976883	-1.77610032269408	-6.12489124782781	-11.2644426002266	-9.56400288208551	-3.59025033208092	-3.72141077997136	-7.70985374854896	-6.4700267338765	-4.31899876384869	-7.62058641045188	-6.43155258606186	-10.457087678169
LLM.2015.08.23	-8.27626983091227	-2.79144693665013	NA	NA	-8.10634482946996	-10.10634482947	-9.36937923530375	-8.32207352052539	-3.31048554625018	-6.99086761205002	NA	-2.22982788290496	NA	NA	-5.05710131045011	-8.69130733019112	-12.2762698309123	-3.8354006633014	-1.99318147788827	-8.18880698966193	-10.9543417360249	-8.23187571155382	-4.14441287030348	-5.74488837039596	-7.72168097923463	-6.70641422258132	-5.00948329021737	-6.40590511132887	-5.1677453741341	NA
