feature	Alcaligenaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Christensenellaceae	Clostridiaceae	Coriobacteriaceae	Desulfovibrionaceae	Enterobacteriaceae	Erysipelotrichaceae	Fusobacteriaceae	Lachnospiraceae	Methanobacteriaceae	Pasteurellaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	S24-7	Synergistaceae	Unclassified Cyanobacteria	Unclassified Firmicutes	Unclassified Proteobacteria	Unclassified Tenericutes	Veillonellaceae	Verrucomicrobiaceae	[Barnesiellaceae]	[Paraprevotellaceae]	[Tissierellaceae]
LLM.2016.11.10	0.0110608345902464	0.384313725490196	NA	NA	0.000201106083459025	0.00603318250377074	0.000301659125188537	0.00281548516842634	0.0207139265962795	0.00744092508798391	0.000402212166918049	0.249371543489191	NA	NA	0.0344896933132227	0.0443438914027149	NA	0.0273504273504274	0.117948717948718	0.000201106083459025	NA	0.00583207642031171	0.0561085972850679	0.000703871292106586	0.000301659125188537	0.0102564102564103	0.0073403720462544	0.00191050779286073	0.0105580693815988	NA
LLM.2016.11.13	0.00463616206409998	0.195021165087684	NA	NA	0.00181415037290869	0.00231808103204999	0.000604716790969563	0.00423301753678694	0.0283209030437412	0.00503930659141302	0.00262043942753477	0.326345494859907	NA	0.000907075186454344	0.0285224753073977	0.0221729490022173	NA	0.0644023382382584	0.190082644628099	0.00241886716387825	NA	0.00453537593227172	0.0361822213263455	0.00221729490022173	0.0043338036686152	0.0171336424108043	0.0208627292884499	0.00927232412819996	0.0234831687159847	0.00251965329570651
LLM.2016.11.20	0.00212421606311956	0.103479668217682	0.000202306291725673	NA	0.0143637467125228	0.0011126846044912	0.00161845033380538	0.00940724256524378	0.0104187740238721	0.0106210803155978	NA	0.26461662957718	NA	NA	0.0147683592959741	0.000202306291725673	NA	0.0300424843212624	0.239328343111471	0.00141614404207971	0.00101153145862836	0.0022253692089824	0.196742868703217	0.000404612583451345	0.00839571110661542	0.00981185514869513	0.0641310944770382	0.00687841391867287	0.00566457616831884	0.00101153145862836
LLM.2016.11.27	0.00693877551020408	0.12765306122449	0.000306122448979592	0.000408163265306122	0.0172448979591837	0.0023469387755102	0.00255102040816327	0.00591836734693878	0.0109183673469388	0.00989795918367347	0.000918367346938775	0.118061224489796	NA	0.000204081632653061	0.0314285714285714	NA	NA	0.0639795918367347	0.293673469387755	0.0013265306122449	0.000408163265306122	0.0107142857142857	0.165612244897959	0.00469387755102041	0.0110204081632653	0.0210204081632653	0.0540816326530612	0.0161224489795918	0.0222448979591837	0.000306122448979592
LLM.2016.12.01	0.0133632561460777	0.0782413546873406	0.00061205753340814	0.00622258492298276	0.00744669998979904	0.00255023972253392	0.00204019177802713	0.0172396205243293	0.11129246149138	0.0218300520248903	NA	0.274711822911354	NA	NA	0.0489646026726512	0.000408038355605427	0.00418239314495563	0.0294807711924921	0.230337651739264	0.000816076711210854	0.000204019177802713	0.0113230643680506	0.0728348464755687	0.00295827807813934	0.0146893808017954	0.0150974191574008	0.00540650821177191	0.00275425890033663	0.0236662246251148	0.00132612465571764
LLM.2016.12.03	NA	0.344848302793632	NA	NA	NA	0.000200260338439972	0.000200260338439972	NA	0.0933213177130269	0.0185240813056974	NA	0.00390507659957945	NA	NA	NA	NA	NA	NA	0.0172223891058376	NA	NA	NA	0.00250325423049965	0.518874536897967	NA	NA	0.000200260338439972	NA	0.000200260338439972	NA
LLM.2016.12.04	NA	0.108582314016443	NA	NA	NA	NA	NA	NA	0.545819129737317	0.00882293964307199	0.000300782033286545	0.00882293964307199	NA	NA	NA	NA	NA	NA	0.0749949869661119	NA	NA	NA	0.0213555243633447	0.229596952075396	0.000401042711048727	0.00100260677762182	0.000300782033286545	NA	NA	NA
LLM.2016.12.11	0.00344268934791414	0.303969218307007	0.000202511138112596	NA	0.000708788983394087	0.00162008910490077	NA	0.00425273390036452	0.00739165654110976	0.0143782908059943	0.000202511138112596	0.243620899149453	NA	NA	0.048906439854192	NA	NA	0.0437424058323208	0.254151478331308	NA	0.000202511138112596	0.000202511138112596	0.0238963142972864	NA	NA	0.0256176589712434	0.00050627784528149	0.0229850141757797	NA	NA
LLM.2016.12.17	0.00102511532547412	0.120451050743209	NA	NA	0.00276781137878011	0.00328036904151717	NA	0.00420297283444387	0.010968733982573	0.0232701178882624	0.000512557662737058	0.327421834956433	NA	NA	0.0120963608405946	0.00348539210661199	0.000410046130189646	0.023167606355715	0.395899538698104	0.00307534597642235	0.000512557662737058	0.00123013839056894	0.033623782675551	0.000512557662737058	0.0111737570476679	0.00676576114812916	0.00430548436699129	0.00984110712455151	NA	NA
LLM.2016.12.25	0.00307156752329272	0.0618408928022934	NA	NA	0.0946042797174158	0.00174055492986587	0.000204771168219515	0.0117743421726221	0.0219105149994881	0.00501689362137811	NA	0.158697655370124	NA	NA	0.027439336541415	0.00194532609808539	NA	0.183372581140575	0.292310842633357	0.00317395310740248	0.0062455206306952	0.0218081294153783	0.0359373400225248	0.00430019453260981	0.000204771168219515	0.0190437186444149	0.0164840790416709	0.0288727347189516	NA	NA
LLM.2017.01.01	0.00182481751824818	0.216240875912409	0.00223033252230333	NA	0.0413625304136253	0.00608272506082725	0.000608272506082725	0.00780616382806164	0.012875101378751	0.00699513381995134	NA	0.202656123276561	NA	NA	0.0312246553122466	0.000912408759124088	0.000202757502027575	0.0997566909975669	0.26632197891322	0.00709651257096513	0.00172343876723439	0.0134833738848337	0.0304136253041363	0.00141930251419303	0.00253446877534469	0.0204785077047851	0.00638686131386861	0.0193633414436334	NA	NA
LLM.2017.01.08	0.000408788962698007	0.136331119059785	NA	NA	0.0387327542156362	0.0058252427184466	0.000510986203372509	0.00296371997956055	0.0055186509964231	0.0164537557485948	NA	0.236688809402146	0.000204394481349004	NA	0.0135922330097087	0.00132856412876852	NA	0.0747061829330608	0.338272866632601	0.00633622892181911	NA	0.00429228410832907	0.0631578947368421	0.00306591722023505	0.00367910066428206	0.0336228921819111	0.00449667858967808	0.00981093510475217	NA	NA
LLM.2017.01.15	0.00154400411734431	0.0822439526505404	0.000617601646937725	NA	0.121873391662378	0.00411734431291817	0.00205867215645908	0.020174987133299	0.011219763252702	0.00597014925373134	NA	0.229747812660834	0.000411734431291817	NA	0.0214101904271745	0.00329387545033453	0.000205867215645908	0.062995367987648	0.339577972207926	0.00329387545033453	0.0085434894493052	0.00349974266598044	0.0361296963458569	0.000926402470406588	0.000411734431291817	0.0308800823468863	0.0024704065877509	0.00638188368502316	NA	NA
LLM.2017.01.22	0.00438775510204082	0.111326530612245	0.00153061224489796	NA	0.0940816326530612	0.00469387755102041	0.000918367346938775	0.0121428571428571	0.016734693877551	0.0151020408163265	NA	0.232755102040816	NA	NA	0.0147959183673469	0.00571428571428572	NA	0.102959183673469	0.266224489795918	0.0269387755102041	0.00275510204081633	0.00275510204081633	0.031530612244898	0.00387755102040816	0.00193877551020408	0.0327551020408163	0.00387755102040816	0.0102040816326531	NA	NA
LLM.2017.01.31	0.00265035677879715	0.0832823649337411	0.000305810397553517	NA	0.0153924566768603	0.00519877675840979	0.00224260958205912	0.0152905198776758	0.0207951070336391	0.00998980632008155	NA	0.195820591233435	NA	NA	0.0182466870540265	0.00642201834862385	NA	0.141997961264016	0.393476044852192	0.00652395514780836	0.00234454638124363	0.00224260958205912	0.0230377166156983	0.00112130479102956	0.00214067278287462	0.0289500509683996	0.0102956167176351	0.0122324159021407	NA	NA
LLM.2017.02.11	0.00325534079348932	0.157985757884028	0.000508646998982706	NA	0.0516785350966429	0.00661241098677518	0.000610376398779247	0.0145473041709054	0.0127161749745676	0.00803662258392676	NA	0.180976602238047	NA	NA	0.0307222787385554	0.00661241098677518	0.0401831129196338	0.130417090539166	0.243845371312309	0.00976602238046795	0.00244150559511699	0.00233977619532045	0.0356052899287894	0.00620549338758901	0.00325534079348932	0.0275686673448627	0.0150559511698881	0.00905391658189217	NA	NA
LLM.2017.02.26	0.000603925515853045	0.0279818822345244	NA	NA	0.00513336688475088	0.0054353296426774	0.000704579768495219	0.00241570206341218	0.45878208354303	0.0149974836436839	NA	0.217413185707096	NA	NA	0.00342224458983392	0.000402617010568697	0.000201308505284348	0.0184197282335179	0.17131353799698	0.00181177654755913	0.000503271263210871	0.000402617010568697	0.0430800201308505	0.000201308505284348	0.00533467539003523	0.0126824358329139	0.00754906894816306	0.00120785103170609	NA	NA
LLM.2017.03.13	0.00142334282228548	0.0721838145587637	NA	NA	0.0175884505896706	0.0066083773891826	0.00162667751118341	0.00701504676697845	0.0821472143147621	0.0102684017893453	NA	0.361630744204961	NA	NA	0.00843838958926393	0.00101667344448963	NA	0.0405652704351362	0.27257015046767	0.00305002033346889	0.000915006100040667	0.00254168361122408	0.0406669377795852	0.00203334688897926	0.00599837332248882	0.0305002033346889	0.0229768198454656	0.008235054900366	NA	NA
LLM.2017.04.16	0.00434255705917996	0.233791153302363	NA	NA	0.00484750555443345	0.00282771157341951	0.000504948495253484	0.00262573217531812	0.0236315895778631	0.00343364976772369	NA	0.283781054332458	NA	NA	0.0167642900424157	0.0566552211674409	NA	0.0797818622500505	0.175217127852959	0.0153504342557059	NA	0.00212078368006463	0.0300949303171077	0.000706927893354878	0.00141385578670976	0.0115128256917794	0.0418097354069885	0.00878610381741062	NA	NA
LLM.2017.04.30	0.00989499192245557	0.138327948303716	NA	NA	0.00252423263327948	0.00464458804523425	0.000706785137318255	0.00272617124394184	0.0191841680129241	0.00454361873990307	NA	0.315630048465267	NA	NA	0.0177705977382876	0.052907915993538	NA	0.06078352180937	0.180331179321486	0.0255452342487884	0.000100969305331179	0.014640549273021	0.0671445880452343	0.0082794830371567	0.00393780290791599	0.00858239095315024	0.0534127625201939	0.00838045234248788	NA	NA
LLM.2017.05.14	0.00626832473966232	0.140430694570822	NA	NA	0.00545950864422202	0.00363967242948135	0.00040440804772015	0.00596501870387221	0.0225457486603983	0.0075826508947528	NA	0.277019512688303	NA	NA	0.0125366494793246	0.00121322414316045	NA	0.0949347892023051	0.26933575978162	0.0116267313719543	0.00151653017895056	0.00485289657264179	0.0419573349509655	0.00465069254878172	0.00313416236983116	0.0223435446365383	0.0545950864422202	0.00798705894247296	NA	NA
LLM.2017.05.28	0.0038298730094739	0.157528724047571	NA	NA	0.00272122555936303	0.00544245111872606	0.000403144527313042	0.00564402338238258	0.0091715379963717	0.00614795404152389	NA	0.259826647853255	NA	NA	0.0188470066518847	0.0174360008062891	NA	0.0751864543438823	0.257710139084862	0.0287240475710542	0.000201572263656521	0.00191493650473695	0.0398105220721629	0.00272122555936303	0.00010078613182826	0.0324531344486999	0.0670227776657932	0.00715581535980649	NA	NA
LLM.2017.06.25	0.00513595166163142	0.101409869083585	0.000100704934541793	NA	0.0027190332326284	0.00281973816717019	0.00080563947633434	0.00533736153071501	0.0181268882175227	0.00694864048338369	NA	0.284491440080564	NA	NA	0.0146022155085599	0.00835850956696878	0.000100704934541793	0.0660624370594159	0.188821752265861	0.0153071500503525	0.00171198388721047	0.00392749244712991	0.0529707955689829	0.00251762336354481	0.00171198388721047	0.0154078549848943	0.191641490433031	0.00896273917421954	NA	NA
